sector;floor;description
1A;first_floor;Indoor sector 1 first floor
2A;first_floor;Indoor sector 2 first floor
3A;first_floor;Indoor sector 3 first floor
4A;first_floor;Indoor sector 4 first floor
5A;first_floor;Indoor sector 5 first floor
6A;first_floor;Indoor sector 6 first floor
7A;first_floor;Indoor sector 7 first floor
1B;ground_floor;Indoor sector 1 ground floor
2B;ground_floor;Indoor sector 2 ground floor
3B;ground_floor;Indoor sector 3 ground floor
4B;ground_floor;Indoor sector 4 ground floor
5B;ground_floor;Indoor sector 5 ground floor
6B;ground_floor;Indoor sector 6 ground floor
7B;ground_floor;Indoor sector 7 ground floor
8B;ground_floor;Indoor sector 8 ground floor
9B;ground_floor;Indoor sector 9 ground floor
10B;ground_floor;Indoor sector 10 ground floor
11B;ground_floor;Indoor sector 11 ground floor
12B;ground_floor;Indoor sector 12 ground floor
13B;ground_floor;Indoor sector 13 ground floor
14B;ground_floor;Indoor sector 14 ground floor
15B;ground_floor;Indoor sector 15 ground floor
16B;ground_floor;Indoor sector 16 ground floor
17B;ground_floor;Indoor sector 17 ground floor
18B;ground_floor;Indoor sector 18 ground floor
19B;ground_floor;Indoor sector 19 ground floor
20B;ground_floor;Indoor sector 20 ground floor
21B;ground_floor;Indoor sector 21 ground floor
